,Process_Name,Type,Definition,DataProperty,Concept,Synonymes,Relation,Object
41,ESTIMATE ACTIVITY DURATIONS,Has_inputs,the enterprise environmental factors that can inﬂuence the estimate activity durations process include but are not limited to duration estimating databases and other reference data productivity metrics published commercial information and location of team members. ,, enterprise environmental factors ,",enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise",",inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence",",inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,activities process,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence"
42,ESTIMATE ACTIVITY DURATIONS,Has_inputs,the organizational process assets that can inﬂuence the estimate activity durations process include but are not limited to historical duration information project calendars estimating policies scheduling methodology and lessons learned repository. ,, organizational process assets ,",process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process,process,process,process,process,process,process,process,process,process,process",",inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,achieves,is,whatif,predict,update,update,reveal,occurs,complete,update,be",",inﬂuence,inﬂuence,inﬂuence,inﬂuence,scope process,inﬂuence,activities process,activities process,inﬂuence,inﬂuence,schedule process,inﬂuence,inﬂuence,inﬂuence,inﬂuence control,consensus,schedule model,scenario analysis,project objectives,update project schedule,record progress,delivery dates,plan section,project work,update project costs,person"
43,DEVELOP SCHEDULE,Has_inputs, project management plan components include but are not limited to schedule management plan. the schedule management plan identiﬁes the scheduling method and tool used to create the schedule and how the schedule is to be calculated. scope baseline. the scope statement wbs and wbs dictionary have details about the project deliverables that are considered when building the schedule model. ,Section 4.2.3.1. Section 6.1.3.1. Section 5.4.3.1., project management plan ,",scope management plan,management plan,management plan,management plan,conﬁguration management plan,scope management plan,project,project,schedule management plan,schedule management plan,risk management plan,risk management plan,cost management plan,quality management plan,cost management plan,resource management plan,management plan,cost management plan,project management team,project management team,project management team,project management team,project,project,project,project,project,project,project,scope management plan,scope management plan,management plan,project management team,management plan,plan,project,project management team,project,plan,schedule management plan,schedule management plan,schedule management plan,management plan,project,management plan,management plan,management plan,project cost management,project project,project,cost management plan,management plan,management plan,management plan,management plan",",contains,has,describes,describes,deﬁnes,describes,is,meet,establishes,provides,provides,provides,describes,describes,describes,provides,includes,describes,waits,determines,determines,determines,is,is,ﬁnish,progresses,has,is,is,is,be,is,control,goes,represents,deliver,selects,adjust,acknowledges,is,be,establish,specify,has,goes,goes,goes,consider,include,is,is,establish,points,goes,control",",project scope,project requirements,project requirements,project requirements,change control,scope,people,commitments,controlling schedule,processes,approach,processes,methods,activities,project costs,rates personnel,target beneﬁts,project costs,waits,determines,determines,dependencies,funding entity,values,date,project team,date,work sv,cpi,component,needs,component,project scope,control process,project,products services,scheduling method,knowledge,work,component,needs,model development,nuevm techniques,elaboration,control process,control process,control process,project decisions,work,schedule,component,units,control accounts,control process,projects cost"
44,DEVELOP SCHEDULE,Has_inputs,project documents that can be considered as inputs for this process include but are not limited to activity attributes. the activity attributes provide the details used to build the schedule model. activity list. the activity list identiﬁes the activities that will be included in the schedule model. assumption log. assumptions and constraints recorded in the assumption log may give rise to individual project risks that may impact the project schedule. basis of estimates. the amount and type of additional details supporting the duration estimate vary by application area. regardless of the level of detail the supporting documentation should provide a clear and complete understanding of how the duration estimate was derived. duration estimates. the duration estimates contain the quantitative assessments of the likely number of work periods that will be required to complete an activity. this will be used to calculate the schedule. lessons learned. lessons learned earlier in the project with regard to developing the schedule model can be applied to later phases in the project to improve the validity of the schedule model. milestone list. project schedule network diagrams. the project schedule network diagrams contain the logical relationships of predecessors and successors that will be used to calculate the schedule. project team assignments. the project team assignments specify which resources are assigned to each activity. resource calendars. described in sections .... the resource calendars contain information on the availability of resources during the project. resource requirements. the activity resource requirements identify the types and quantities of resources required for each activity used to create the schedule model. risk register. the risk register provides the details of all identiﬁed risks and their characteristics that affect the schedule model. risk information relevant to the schedule is reﬂected in schedule reserves using the expected or mean risk impact. ,Section 6.2.3.2. Section 6.2.3.1. Section 4.1.3.2. Section 6.4.3.2. Section 6.4.3.1. Section 4.4.3.1. Section 6.2.3.3. The milestone list has scheduled dates for speciﬁc milestones. Section 6.3.3.1. Section 9.3.3.1. Section 9.2.3.1. Section 11.2.3.1., project documents ,",project documents,project charter,project documents,plan documents,project documents,project documents,project documents,project charter,project documents,project risks,project documents,project risks,project,project risks,project documents,project risks,project schedule,project,project documents,project calendar,project schedule,project charter,project charter,project documents,project costs,project documents,project schedule,business documents,project documents,project teams,project meetings,project participants,project work,project deliverables,project performance,project teams,project team,project team,software project,project duration,project manager,project team,project duration,project schedule,project schedule,project schedule,project performance,project schedule,project teams,project values,project,project managers,project,project team,project,project performance,project,project team,project manager,project managers,project managers,project performance,project,project schedule,project budget,project manager,project,project,matrix project,center project,project team,project teams,project charter,project documents,project team,project objectives,project documents,project documents,project performance,project documents,project schedule,project,project schedule,project,schedule project,project complexity,project milestones,project,project documents,project risks,project documents,project schedule,project schedule,project schedule,project calendar,project schedule,project documents,project schedule,project documents,project cost,project costs,business documents,project project,project,project work,project estimate,project documents,project budget,project documents,project performance,project documents",",be,provides,be,be,be,be,be,deﬁnes,be,impact,be,impact,is,impact,be,impact,perform,meet,be,allow,refers,provides,deﬁnes,be,be,be,includes,be,be,attend,develop,sponsors,involves,be,determine,hold,determines,determines,be,is,continues,hold,determine,be,address,deﬁnes,determine,require,hold,becomes,is,determine,is,is,ﬁnish,determine,progresses,develop,consider,builds,is,predicts,has,is,free,consider,is,is,programs,needs,perform,provides,contains,be,accomplish,create,be,be,result,be,manage,deliver,remain,adjust,generates,stop,indicates,has,be,impact,be,is,includes,be,allow,result,be,result,be,includes,manage,factors,include,is,cover,be,be,be,be,result,be",",assumption log,description product,assumption log,project scope statement,inputs,register lessons,inputs,summary milestone schedule,inputs,impact project schedule,inputs,impact project schedule,people,availability,inputs,impact project schedule,project work,commitments,inputs,work periods,version,project costs,approval requirements,inputs,project budget,inputs,projects activities,business case,inputs,project meetings,scope management plan,executives,wbs levels,project team,performance,planning meetings,determines,determines,delivery,amount,ﬁstofﬁve process,meetings,schedule ﬂexibility,schedule model,address impact,deﬁnes,performance,action,planning meetings,basis,funding entity,status,values,work,date,performance,project team,completion eac,eac,costs,risk scenarios,work,date,factor,resources,eac,work sv,cpi,cost center,test i,project teams,projects boundaries,level information,assumption log,project objectives,deliverables,nuassumption log,result,change request,result,changes,products services,project,knowledge,schedule examples,indicators impact,milestone,elaboration,result,impact project schedule,result,schedule model,start date,summary form,work periods,change requests,result,change requests,assumption log,processes,changes,factors factors,work,schedule,work,activity level,assumption log,change control procedures,cost estimates,change request,assumption log"
45,DEVELOP SCHEDULE,Has_inputs, vendors may have an input to the project schedule as they develop the details of how they will perform the project work to meet contractual commitments. part guide ,Section 12.2.3.2., agreements ,,,
46,DEVELOP SCHEDULE,Has_inputs,the enterprise environmental factors that can inﬂuence the develop schedule process include but are not limited to government or industry standards and communication channels. ,, enterprise environmental factors ,",enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise",",inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence",",inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,activities process,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence"
47,DEVELOP SCHEDULE,Has_inputs,the organizational process assets that can inﬂuence the develop schedule process include but are not limited to scheduling methodology containing the policies governing schedule model development and maintenance and project calendars. ,, organizational process assets ,",process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process,process,process,process,process,process,process,process,process,process,process",",inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,achieves,is,whatif,predict,update,update,reveal,occurs,complete,update,be",",inﬂuence,inﬂuence,inﬂuence,inﬂuence,scope process,inﬂuence,activities process,activities process,inﬂuence,inﬂuence,schedule process,inﬂuence,inﬂuence,inﬂuence,inﬂuence control,consensus,schedule model,scenario analysis,project objectives,update project schedule,record progress,delivery dates,plan section,project work,update project costs,person"
48,CONTROL SCHEDULE,Has_inputs, project management plan components include but are not limited to schedule management plan. the schedule management describes the frequency that the schedule will be updated how reserve will be used and how the schedule will be controlled. schedule baseline. the schedule baseline is compared with actual results to determine if a change corrective action or preventive action is necessary. scope baseline. the project wbs deliverables constraints and assumptions documented in the scope baseline are considered explicitly when monitoring and controlling the schedule baseline. performance measurement baseline. when using earned value analysis the performance measurement baseline is compared to actual results to determine if a change corrective action or preventive action is necessary. part guide ,Section 4.2.3.1. Section 6.1.3.1. Section 6.5.3.1. Section 5.4.3.1. Section 4.2.3.1., project management plan ,",scope management plan,management plan,management plan,management plan,conﬁguration management plan,scope management plan,project,project,schedule management plan,schedule management plan,risk management plan,risk management plan,cost management plan,quality management plan,cost management plan,resource management plan,management plan,cost management plan,project management team,project management team,project management team,project management team,project,project,project,project,project,project,project,scope management plan,scope management plan,management plan,project management team,management plan,plan,project,project management team,project,plan,schedule management plan,schedule management plan,schedule management plan,management plan,project,management plan,management plan,management plan,project cost management,project project,project,cost management plan,management plan,management plan,management plan,management plan",",contains,has,describes,describes,deﬁnes,describes,is,meet,establishes,provides,provides,provides,describes,describes,describes,provides,includes,describes,waits,determines,determines,determines,is,is,ﬁnish,progresses,has,is,is,is,be,is,control,goes,represents,deliver,selects,adjust,acknowledges,is,be,establish,specify,has,goes,goes,goes,consider,include,is,is,establish,points,goes,control",",project scope,project requirements,project requirements,project requirements,change control,scope,people,commitments,controlling schedule,processes,approach,processes,methods,activities,project costs,rates personnel,target beneﬁts,project costs,waits,determines,determines,dependencies,funding entity,values,date,project team,date,work sv,cpi,component,needs,component,project scope,control process,project,products services,scheduling method,knowledge,work,component,needs,model development,nuevm techniques,elaboration,control process,control process,control process,project decisions,work,schedule,component,units,control accounts,control process,projects cost"
49,CONTROL SCHEDULE,Has_inputs,project documents that can be considered as inputs for this process include but are not limited to lessons learned register. lessons learned earlier in the project can be applied to later phases in the project to improve schedule control. project calendars. a schedule model may require more than one project calendar to allow for different work periods for some activities to calculate the schedule forecasts. project schedule. project schedule refers to the most recent version with notations to indicate updates completed activities and started activities as of the indicated date. resource calendars. resource calendars show the availability of team and physical resources. schedule data. schedule data will be reviewed and updated in the control schedule process. ,Section 4.4.3.1. Section 6.5.3.4. Section 6.5.3.2. Section 9.2.1.2. Section 6.5.3.3., project documents ,",project documents,project charter,project documents,plan documents,project documents,project documents,project documents,project charter,project documents,project risks,project documents,project risks,project,project risks,project documents,project risks,project schedule,project,project documents,project calendar,project schedule,project charter,project charter,project documents,project costs,project documents,project schedule,business documents,project documents,project teams,project meetings,project participants,project work,project deliverables,project performance,project teams,project team,project team,software project,project duration,project manager,project team,project duration,project schedule,project schedule,project schedule,project performance,project schedule,project teams,project values,project,project managers,project,project team,project,project performance,project,project team,project manager,project managers,project managers,project performance,project,project schedule,project budget,project manager,project,project,matrix project,center project,project team,project teams,project charter,project documents,project team,project objectives,project documents,project documents,project performance,project documents,project schedule,project,project schedule,project,schedule project,project complexity,project milestones,project,project documents,project risks,project documents,project schedule,project schedule,project schedule,project calendar,project schedule,project documents,project schedule,project documents,project cost,project costs,business documents,project project,project,project work,project estimate,project documents,project budget,project documents,project performance,project documents",",be,provides,be,be,be,be,be,deﬁnes,be,impact,be,impact,is,impact,be,impact,perform,meet,be,allow,refers,provides,deﬁnes,be,be,be,includes,be,be,attend,develop,sponsors,involves,be,determine,hold,determines,determines,be,is,continues,hold,determine,be,address,deﬁnes,determine,require,hold,becomes,is,determine,is,is,ﬁnish,determine,progresses,develop,consider,builds,is,predicts,has,is,free,consider,is,is,programs,needs,perform,provides,contains,be,accomplish,create,be,be,result,be,manage,deliver,remain,adjust,generates,stop,indicates,has,be,impact,be,is,includes,be,allow,result,be,result,be,includes,manage,factors,include,is,cover,be,be,be,be,result,be",",assumption log,description product,assumption log,project scope statement,inputs,register lessons,inputs,summary milestone schedule,inputs,impact project schedule,inputs,impact project schedule,people,availability,inputs,impact project schedule,project work,commitments,inputs,work periods,version,project costs,approval requirements,inputs,project budget,inputs,projects activities,business case,inputs,project meetings,scope management plan,executives,wbs levels,project team,performance,planning meetings,determines,determines,delivery,amount,ﬁstofﬁve process,meetings,schedule ﬂexibility,schedule model,address impact,deﬁnes,performance,action,planning meetings,basis,funding entity,status,values,work,date,performance,project team,completion eac,eac,costs,risk scenarios,work,date,factor,resources,eac,work sv,cpi,cost center,test i,project teams,projects boundaries,level information,assumption log,project objectives,deliverables,nuassumption log,result,change request,result,changes,products services,project,knowledge,schedule examples,indicators impact,milestone,elaboration,result,impact project schedule,result,schedule model,start date,summary form,work periods,change requests,result,change requests,assumption log,processes,changes,factors factors,work,schedule,work,activity level,assumption log,change control procedures,cost estimates,change request,assumption log"
50,CONTROL SCHEDULE,Has_inputs, work performance data contains data on project status such as which activities have started their progress e.g. actual duration remaining duration and physical percent complete and which activities have ﬁnished. ,Section 4.3.3.2., work performance data ,",work performance data,work performance data,work performance data,work performance data,work,work,work,data,work performance information,work,performance,work,work,performance,work,work,work,work,work performance information,work performance information,data,work,data,work performance information,work performance information",",include,include,contains,contains,is,exist,is,is,covers,be,is,progresses,meet,is,be,be,is,budget,includes,includes,dates,starts,is,includes,includes",",requirements number,change requests,project status,project status,detail ability,levels,writing team,budget,projects,rate,assumption,reserves,management goal,index value,estimate,rate use,project work,budget,project progress,product scope,scheduling tool,priorities,controlling schedule,project work,project work"
51,CONTROL SCHEDULE,Has_inputs,the organizational process assets that can inﬂuence the control schedule process include but are not limited to existing formal and informal schedule controlrelated policies procedures and guidelines schedule control tools and monitoring and reporting methods to be used. ,, organizational process assets ,",process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process,process,process,process,process,process,process,process,process,process,process",",inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,achieves,is,whatif,predict,update,update,reveal,occurs,complete,update,be",",inﬂuence,inﬂuence,inﬂuence,inﬂuence,scope process,inﬂuence,activities process,activities process,inﬂuence,inﬂuence,schedule process,inﬂuence,inﬂuence,inﬂuence,inﬂuence control,consensus,schedule model,scenario analysis,project objectives,update project schedule,record progress,delivery dates,plan section,project work,update project costs,person"
52,PLAN COST MANAGEMENT,Has_inputs, the project charter provides the preapproved ﬁnancial resources from which the detailed project costs are developed. the project charter also deﬁnes the project approval requirements that will inﬂuence the management of the project costs. ,Section 4.2.3.1., project charter ,",project documents,project charter,project documents,project documents,project documents,project documents,project charter,project documents,project risks,project documents,project risks,project,project risks,project documents,project risks,project schedule,project,project documents,project calendar,project schedule,project charter,project charter,project documents,project costs,project documents,project schedule,project documents,project teams,project meetings,project participants,project work,project deliverables,project performance,project teams,project team,project team,software project,project duration,project manager,project team,project duration,project schedule,project schedule,project schedule,project performance,project schedule,project teams,project values,project,project managers,project,project team,project,project performance,project,project team,project manager,project managers,project managers,project performance,project,project schedule,project budget,project manager,project,project,matrix project,center project,project team,project teams,project charter,project documents,project team,project objectives,project documents,project documents,project performance,project documents,project schedule,project,project schedule,project,schedule project,project complexity,project milestones,project,project documents,project risks,project documents,project schedule,project schedule,project schedule,project calendar,project schedule,project documents,project schedule,project documents,project cost,project costs,project project,project,project work,project estimate,project documents,project budget,project documents,project performance,project documents",",be,provides,be,be,be,be,deﬁnes,be,impact,be,impact,is,impact,be,impact,perform,meet,be,allow,refers,provides,deﬁnes,be,be,be,includes,be,attend,develop,sponsors,involves,be,determine,hold,determines,determines,be,is,continues,hold,determine,be,address,deﬁnes,determine,require,hold,becomes,is,determine,is,is,ﬁnish,determine,progresses,develop,consider,builds,is,predicts,has,is,free,consider,is,is,programs,needs,perform,provides,contains,be,accomplish,create,be,be,result,be,manage,deliver,remain,adjust,generates,stop,indicates,has,be,impact,be,is,includes,be,allow,result,be,result,be,includes,manage,include,is,cover,be,be,be,be,result,be",",assumption log,description product,assumption log,inputs,register lessons,inputs,summary milestone schedule,inputs,impact project schedule,inputs,impact project schedule,people,availability,inputs,impact project schedule,project work,commitments,inputs,work periods,version,project costs,approval requirements,inputs,project budget,inputs,projects activities,inputs,project meetings,scope management plan,executives,wbs levels,project team,performance,planning meetings,determines,determines,delivery,amount,ﬁstofﬁve process,meetings,schedule ﬂexibility,schedule model,address impact,deﬁnes,performance,action,planning meetings,basis,funding entity,status,values,work,date,performance,project team,completion eac,eac,costs,risk scenarios,work,date,factor,resources,eac,work sv,cpi,cost center,test i,project teams,projects boundaries,level information,assumption log,project objectives,deliverables,nuassumption log,result,change request,result,changes,products services,project,knowledge,schedule examples,indicators impact,milestone,elaboration,result,impact project schedule,result,schedule model,start date,summary form,work periods,change requests,result,change requests,assumption log,processes,changes,work,schedule,work,activity level,assumption log,change control procedures,cost estimates,change request,assumption log"
53,PLAN COST MANAGEMENT,Has_inputs, project management plan components include but are not limited to schedule management plan. the schedule management plan establishes the criteria and the activities for developing monitoring and controlling the schedule. the schedule management plan provides processes and controls that will impact cost estimation and management. risk management plan. the risk management plan provides the approach for identifying analyzing and monitoring risks. the risk management plan provides processes and controls that will impact cost estimation and management. ,Section 4.2.3.1. Section 6.1.3.1. Section 11.1.3.1., project management plan ,",scope management plan,management plan,management plan,management plan,conﬁguration management plan,scope management plan,project,project,schedule management plan,schedule management plan,risk management plan,risk management plan,cost management plan,quality management plan,cost management plan,resource management plan,management plan,cost management plan,project management team,project management team,project management team,project management team,project,project,project,project,project,project,project,scope management plan,scope management plan,management plan,project management team,management plan,plan,project,project management team,project,plan,schedule management plan,schedule management plan,schedule management plan,management plan,project,management plan,management plan,management plan,project cost management,project project,project,cost management plan,management plan,management plan,management plan,management plan",",contains,has,describes,describes,deﬁnes,describes,is,meet,establishes,provides,provides,provides,describes,describes,describes,provides,includes,describes,waits,determines,determines,determines,is,is,ﬁnish,progresses,has,is,is,is,be,is,control,goes,represents,deliver,selects,adjust,acknowledges,is,be,establish,specify,has,goes,goes,goes,consider,include,is,is,establish,points,goes,control",",project scope,project requirements,project requirements,project requirements,change control,scope,people,commitments,controlling schedule,processes,approach,processes,methods,activities,project costs,rates personnel,target beneﬁts,project costs,waits,determines,determines,dependencies,funding entity,values,date,project team,date,work sv,cpi,component,needs,component,project scope,control process,project,products services,scheduling method,knowledge,work,component,needs,model development,nuevm techniques,elaboration,control process,control process,control process,project decisions,work,schedule,component,units,control accounts,control process,projects cost"
54,PLAN COST MANAGEMENT,Has_inputs,the enterprise environmental factors that can inﬂuence the plan cost management process include but are not limited to organizational culture and structure can inﬂuence cost management. market conditions describe what products services and results are available in the regional and global markets. currency exchange rates for project costs are sourced from more than one country. part guide published commercial information such as resource cost rate information is often available from commercial databases that track skills and human resource costs and provide standard costs for material and equipment. published seller price lists are another source of information. project management information system provides alternative possibilities for managing cost. productivity differences in different parts of the world can have a large inﬂuence on the cost of projects. ,, enterprise environmental factors ,",enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise",",inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence",",inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,activities process,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence"
55,PLAN COST MANAGEMENT,Has_inputs,the organizational process assets that can inﬂuence the plan cost management process include but are not limited to financial controls procedures e.g. time reporting required expenditure and disbursement reviews accounting codes and standard contract provisions historical information and lessons learned repository financial databases and existing formal and informal cost estimating and budgetingrelated policies procedures and guidelines. ,, organizational process assets ,",process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process,process,process,process,process,process,process,process,process,process,process",",inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,achieves,is,whatif,predict,update,update,reveal,occurs,complete,update,be",",inﬂuence,inﬂuence,inﬂuence,inﬂuence,scope process,inﬂuence,activities process,activities process,inﬂuence,inﬂuence,schedule process,inﬂuence,inﬂuence,inﬂuence,inﬂuence control,consensus,schedule model,scenario analysis,project objectives,update project schedule,record progress,delivery dates,plan section,project work,update project costs,person"
56,ESTIMATE COSTS,Has_inputs, project management plan components include but are not limited to cost management plan. the cost management plan describes estimating methods that can be used and the level of precision and accuracy required for the cost estimate. quality management plan. the quality management plan describes the activities and resources necessary for the project management team to achieve the quality objectives set for the project. scope baseline. the scope baseline includes the project scope statement wbs and wbs dictionary nuproject scope statement. the scope statement section ... reﬂects funding constraints by period for the expenditure of project funds or other ﬁnancial assumptions and constraints. nuwork breakdown structure. the wbs section ... provides the relationships among all the project deliverables and their various components. nuwbs dictionary. the wbs dictionary section ... and related detailed statements of work provide an identiﬁcation of the deliverables and a description of the work in each wbs component required to produce each deliverable. ,Section 4.2.3.1. Section 7.1.3.1. Section 8.1.3.1. Section 5.4.3.1., project management plan ,",scope management plan,management plan,management plan,management plan,conﬁguration management plan,scope management plan,project,project,schedule management plan,schedule management plan,risk management plan,risk management plan,cost management plan,quality management plan,cost management plan,resource management plan,management plan,cost management plan,project management team,project management team,project management team,project management team,project,project,project,project,project,project,project,scope management plan,scope management plan,management plan,project management team,management plan,plan,project,project management team,project,plan,schedule management plan,schedule management plan,schedule management plan,management plan,project,management plan,management plan,management plan,project cost management,project project,project,cost management plan,management plan,management plan,management plan,management plan",",contains,has,describes,describes,deﬁnes,describes,is,meet,establishes,provides,provides,provides,describes,describes,describes,provides,includes,describes,waits,determines,determines,determines,is,is,ﬁnish,progresses,has,is,is,is,be,is,control,goes,represents,deliver,selects,adjust,acknowledges,is,be,establish,specify,has,goes,goes,goes,consider,include,is,is,establish,points,goes,control",",project scope,project requirements,project requirements,project requirements,change control,scope,people,commitments,controlling schedule,processes,approach,processes,methods,activities,project costs,rates personnel,target beneﬁts,project costs,waits,determines,determines,dependencies,funding entity,values,date,project team,date,work sv,cpi,component,needs,component,project scope,control process,project,products services,scheduling method,knowledge,work,component,needs,model development,nuevm techniques,elaboration,control process,control process,control process,project decisions,work,schedule,component,units,control accounts,control process,projects cost"
57,ESTIMATE COSTS,Has_inputs,project documents that can be considered as inputs for this process include but are not limited to lessons learned register. lessons learned earlier in the project with regard to developing cost estimates can be applied to later phases in the project to improve the accuracy and precision of the cost estimates. project schedule. the schedule includes the type quantity and amount of time that team and physical resources will be active on the project. the duration estimates section ... will affect cost estimates when resources are charged per unit of time and when there are seasonal ﬂuctuations in costs. the schedule also provides useful information for projects that incorporate the cost of ﬁnancing including interest charges. resource requirements. resource requirements identify the types and quantities of resources required for each work package or activity. risk register. the risk register contains details of individual project risks that have been identiﬁed and prioritized and for which risk responses are required. the risk register provides detailed information that can be used to estimate costs. part guide ,Section 4.4.3.1. Section 6.5.3.2. Section 9.2.3.1. Section 11.2.3.1., project documents ,",project documents,project charter,project documents,plan documents,project documents,project documents,project documents,project charter,project documents,project risks,project documents,project risks,project,project risks,project documents,project risks,project schedule,project,project documents,project calendar,project schedule,project charter,project charter,project documents,project costs,project documents,project schedule,business documents,project documents,project teams,project meetings,project participants,project work,project deliverables,project performance,project teams,project team,project team,software project,project duration,project manager,project team,project duration,project schedule,project schedule,project schedule,project performance,project schedule,project teams,project values,project,project managers,project,project team,project,project performance,project,project team,project manager,project managers,project managers,project performance,project,project schedule,project budget,project manager,project,project,matrix project,center project,project team,project teams,project charter,project documents,project team,project objectives,project documents,project documents,project performance,project documents,project schedule,project,project schedule,project,schedule project,project complexity,project milestones,project,project documents,project risks,project documents,project schedule,project schedule,project schedule,project calendar,project schedule,project documents,project schedule,project documents,project cost,project costs,business documents,project project,project,project work,project estimate,project documents,project budget,project documents,project performance,project documents",",be,provides,be,be,be,be,be,deﬁnes,be,impact,be,impact,is,impact,be,impact,perform,meet,be,allow,refers,provides,deﬁnes,be,be,be,includes,be,be,attend,develop,sponsors,involves,be,determine,hold,determines,determines,be,is,continues,hold,determine,be,address,deﬁnes,determine,require,hold,becomes,is,determine,is,is,ﬁnish,determine,progresses,develop,consider,builds,is,predicts,has,is,free,consider,is,is,programs,needs,perform,provides,contains,be,accomplish,create,be,be,result,be,manage,deliver,remain,adjust,generates,stop,indicates,has,be,impact,be,is,includes,be,allow,result,be,result,be,includes,manage,factors,include,is,cover,be,be,be,be,result,be",",assumption log,description product,assumption log,project scope statement,inputs,register lessons,inputs,summary milestone schedule,inputs,impact project schedule,inputs,impact project schedule,people,availability,inputs,impact project schedule,project work,commitments,inputs,work periods,version,project costs,approval requirements,inputs,project budget,inputs,projects activities,business case,inputs,project meetings,scope management plan,executives,wbs levels,project team,performance,planning meetings,determines,determines,delivery,amount,ﬁstofﬁve process,meetings,schedule ﬂexibility,schedule model,address impact,deﬁnes,performance,action,planning meetings,basis,funding entity,status,values,work,date,performance,project team,completion eac,eac,costs,risk scenarios,work,date,factor,resources,eac,work sv,cpi,cost center,test i,project teams,projects boundaries,level information,assumption log,project objectives,deliverables,nuassumption log,result,change request,result,changes,products services,project,knowledge,schedule examples,indicators impact,milestone,elaboration,result,impact project schedule,result,schedule model,start date,summary form,work periods,change requests,result,change requests,assumption log,processes,changes,factors factors,work,schedule,work,activity level,assumption log,change control procedures,cost estimates,change request,assumption log"
58,ESTIMATE COSTS,Has_inputs,the enterprise environmental factors that can inﬂuence the estimate costs process include but are not limited to market conditions. these conditions describe what products services and results are available in the market from whom and under what terms and conditions. regional andor global supply and demand conditions greatly inﬂuence resource costs. published commercial information. resource cost rate information is often available from commercial databases that track skills and human resource costs and provide standard costs for material and equipment. published seller price lists are another source of information. exchange rates and inflation. for largescale projects that extend multiple years with multiple currencies the ﬂuctuations of currencies and inﬂation need to be understood and built into the estimate cost process. ,, enterprise environmental factors ,",enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise",",inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence",",inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,activities process,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence"
